Year,County,Violent_sum,Property_sum
1985,Shasta County,0,44
1985,Sierra County,53,90
1985,Sierra County,0,0
1985,Sierra County,0,0
1985,Siskiyou County,48,569
1985,Siskiyou County,0,29
1985,Siskiyou County,11,117
1985,Siskiyou County,4,7
1985,Siskiyou County,4,17
1985,Siskiyou County,16,226
1985,Siskiyou County,7,31
1985,Siskiyou County,4,95
1985,Siskiyou County,68,521
1985,Siskiyou County,1,38
1985,Siskiyou County,1,8
1985,Siskiyou County,0,31
1985,Solano County,162,613
1985,Solano County,37,835
1985,Solano County,34,403
1985,Solano County,264,3676
1985,Solano County,4,100
1985,Solano County,76,674
1985,Solano County,124,1701
1985,Solano County,623,5801
1985,Solano County,0,3
1985,Solano County,1,20
1985,Solano County,0,1
1985,Solano County,0,56
1985,Sonoma County,318,4298
1985,Sonoma County,6,189
1985,Sonoma County,80,407
1985,Sonoma County,42,382
1985,Sonoma County,226,1594
1985,Sonoma County,356,6049
1985,Sonoma County,12,365
1985,Sonoma County,43,396
1985,Sonoma County,113,1836
1985,Sonoma County,1,110
1985,Sonoma County,3,4
1985,Sonoma County,0,25
1985,Sonoma County,3,67
1985,Sonoma County,1,51
1985,Sonoma County,2,26
1985,Sonoma County,0,430
1985,Stanislaus County,646,4654
1985,Stanislaus County,55,1676
1985,Stanislaus County,557,9234
1985,Stanislaus County,14,157
1985,Stanislaus County,97,618
1985,Stanislaus County,19,312
1985,Stanislaus County,22,339
1985,Stanislaus County,118,2236
1985,Stanislaus County,5,216
1985,Stanislaus County,35,123
1985,Stanislaus County,7,159
1985,Stanislaus County,3,7
1985,Stanislaus County,1,4
1985,Stanislaus County,0,1
1985,Stanislaus County,0,1
1985,Stanislaus County,1,276
1985,Sutter County,80,1254
1985,Sutter County,79,1851
1985,Sutter County,0,74
1985,Tehama County,83,801
1985,Tehama County,37,401
1985,Tehama County,108,998
1985,Tehama County,0,2
1985,Tehama County,0,3
1985,Trinity County,49,349
1985,Trinity County,0,0
1985,Trinity County,0,22
1985,Tulare County,646,4699
1985,Tulare County,24,624
1985,Tulare County,57,344
1985,Tulare County,110,561
1985,Tulare County,53,462
1985,Tulare County,187,2376
1985,Tulare County,145,1062
1985,Tulare County,260,4520
1985,Tulare County,13,193
1985,Tulare County,1,1
1985,Tulare County,2,8
1985,Tulare County,0,78
1985,Tulare County,0,345
1985,Tuolumne County,271,979
1985,Tuolumne County,11,341
1985,Tuolumne County,0,10
1985,Tuolumne County,0,45
1985,Ventura County,174,1704
1985,Ventura County,37,924
1985,Ventura County,41,259
1985,Ventura County,10,271
1985,Ventura County,718,7054
1985,Ventura County,61,633
1985,Ventura County,171,987
1985,Ventura County,127,3027
1985,Ventura County,419,4292
1985,Ventura County,114,2522
1985,Ventura County,1,0
1985,Ventura County,7,49
1985,Ventura County,27,284
1985,Ventura County,17,189
1988,Santa Clara County,5,67
1985,Ventura County,0,1
1985,Ventura County,5,42
1985,Yolo County,437,2620
1985,Yolo County,129,2477
1985,Yolo County,43,123
1985,Yolo County,161,1861
1985,Yolo County,3,2
1985,Yolo County,6,904
1985,Yolo County,0,4
1985,Yolo County,1,323
1985,Yuba County,397,2374
1985,Yuba County,192,1099
1985,Yuba County,11,61
1985,Yuba County,2,1
1985,Yuba County,0,1
1985,Yuba County,0,183
1986,Alameda County,400,2796
1986,Alameda County,423,4301
1986,Alameda County,141,656
1986,Alameda County,1279,11988
1986,Alameda County,127,891
1986,Alameda County,730,5714
1986,Alameda County,779,6578
1986,Alameda County,275,2155
1986,Alameda County,221,2100
1986,Alameda County,6985,38962
1986,Alameda County,32,310
1986,Alameda County,84,1624
1986,Alameda County,437,4845
1986,Alameda County,261,2528
1986,Alameda County,15,102
1986,Alameda County,0,129
1986,Alameda County,91,1585
1986,Alameda County,0,98
1986,Alameda County,1,55
1986,Alameda County,0,5
1986,Alameda County,18,169
1986,Alameda County,32,690
1986,Alameda County,1,11
1986,Alameda County,0,40
1986,Alameda County,76,1672
1986,Alameda County,14,117
1986,Alameda County,73,46
1986,Alpine County,23,207
1986,Alpine County,0,2
1986,Amador County,24,339
1986,Amador County,7,65
1986,Amador County,2,227
1986,Amador County,4,79
1986,Amador County,0,0
1986,Amador County,0,14
1986,Butte County,258,3254
1986,Butte County,6,66
1986,Butte County,319,3052
1986,Butte County,91,379
1986,Butte County,120,1182
1986,Butte County,34,602
1986,Butte County,1,3
1986,Butte County,3,39
1986,Butte County,9,465
1986,Butte County,3,22
1986,Butte County,0,228
1986,Calaveras County,283,930
1986,Calaveras County,59,129
1986,Calaveras County,0,0
1986,Calaveras County,0,10
1986,Calaveras County,0,32
1986,Colusa County,22,322
1986,Colusa County,7,210
1986,Colusa County,12,73
1986,Colusa County,0,0
1986,Colusa County,0,1
1986,Contra Costa County,538,5698
1986,Contra Costa County,299,3458
1986,Contra Costa County,28,280
1986,Contra Costa County,3,107
1986,Contra Costa County,463,6262
1986,Contra Costa County,146,1657
1986,Contra Costa County,40,245
1986,Contra Costa County,96,916
1986,Contra Costa County,543,2213
1986,Contra Costa County,81,1645
1986,Contra Costa County,2056,7195
1986,Contra Costa County,559,2857
1986,Contra Costa County,170,2951
1986,Contra Costa County,3,112
1986,Contra Costa County,64,1329
1986,Contra Costa County,28,668
1986,Contra Costa County,7,232
1986,Contra Costa County,7,98
1986,Contra Costa County,45,743
1986,Contra Costa County,5,29
1986,Contra Costa County,2,12
1986,Contra Costa County,8,213
1986,Contra Costa County,24,773
1986,Contra Costa County,18,844
1986,Contra Costa County,1,19
1986,Contra Costa County,5,169
1986,Contra Costa County,2,22
1986,Contra Costa County,0,545
1986,Del Norte County,95,533
1986,Del Norte County,40,327
1986,Del Norte County,1,24
1986,El Dorado County,299,2346
1986,El Dorado County,87,547
1986,El Dorado County,134,1586
1986,El Dorado County,0,0
1986,El Dorado County,1,6
1986,El Dorado County,1,141
2005,Fresno County,1,332
2006,Fresno County,3,381
2007,Fresno County,0,228
2008,Fresno County,0,224
2009,Fresno County,3,247
2010,Fresno County,1,217
2011,Fresno County,3,194
2012,Fresno County,2,212
2013,Fresno County,0,242
2014,Fresno County,0,148
2015,Fresno County,0,212
1985,Fresno County,144,2337
1986,Fresno County,159,2794
1987,Fresno County,141,2605
1988,Fresno County,155,2840
1989,Fresno County,151,2882
1990,Fresno County,223,3125
1991,Fresno County,220,3207
1992,Fresno County,231,3273
1993,Fresno County,244,2924
1986,Glenn County,65,198
1986,Glenn County,10,328
1986,Glenn County,43,399
1986,Glenn County,0,0
1986,Glenn County,0,19
1986,Humboldt County,279,1709
1986,Humboldt County,28,777
1986,Humboldt County,328,2842
1986,Humboldt County,2,43
1986,Humboldt County,101,447
1986,Humboldt County,20,77
1986,Humboldt County,1,259
1986,Humboldt County,0,0
1986,Humboldt County,1,46
1986,Humboldt County,0,47
1986,Humboldt County,0,72
1986,Imperial County,206,1426
1986,Imperial County,236,1519
1986,Imperial County,104,1704
1986,Imperial County,155,3119
1986,Imperial County,9,200
1986,Imperial County,4,233
1986,Imperial County,8,60
1986,Imperial County,0,0
1986,Imperial County,1,10
1986,Imperial County,0,5
1986,Imperial County,0,113
1986,Inyo County,76,329
1986,Inyo County,17,179
1986,Inyo County,0,0
1986,Inyo County,0,16
1986,Kern County,2171,15269
1986,Kern County,101,434
1986,Kern County,1629,13005
1986,Kern County,185,1017
1986,Kern County,15,41
1986,Kern County,37,162
1986,Kern County,101,789
1986,Kern County,53,459
1986,Kern County,79,452
1986,Kern County,15,201
1986,Kern County,17,128
1986,Kern County,29,231
1986,Kern County,0,3
1986,Kern County,1,17
1986,Kern County,2,10
1986,Kern County,6,23
1986,Kern County,0,51
1986,Kern County,0,18
1986,Kern County,10,210
1986,Kings County,303,1129
1986,Kings County,51,402
1986,Kings County,92,1532
1986,Kings County,34,624
1986,Kings County,1,2
1986,Kings County,0,0
1986,Kings County,0,20
1986,Kings County,0,0
1986,Kings County,0,84
1986,Lake County,268,1036
1986,Lake County,21,208
1986,Lake County,66,1095
1986,Lake County,2,20
1986,Lake County,0,62
1986,Lassen County,87,229
1986,Lassen County,97,447
1986,Lassen County,0,1
1986,Lassen County,0,0
1986,Lassen County,1,30
1986,Los Angeles County,11499,35606
1986,Los Angeles County,577,3653
1986,Los Angeles County,172,2021
1986,Los Angeles County,144,451
1986,Los Angeles County,28,151
1986,Los Angeles County,271,1987
1986,Los Angeles County,478,2555
1986,Los Angeles County,284,1316
1986,Los Angeles County,581,2558
1986,Los Angeles County,584,1572
1986,Los Angeles County,11,102
1986,Los Angeles County,16,81
1986,Los Angeles County,34,251
1986,Los Angeles County,2,98
1986,Los Angeles County,24,223
1986,Los Angeles County,256,2265
1986,Los Angeles County,0,19
1986,Los Angeles County,337,3710
1986,Los Angeles County,120,1506
1986,Los Angeles County,192,1853
1986,Los Angeles County,3027,5780
1986,Los Angeles County,395,2275
1986,Los Angeles County,133,711
1986,Los Angeles County,324,2841
1986,Los Angeles County,338,2855
1986,Los Angeles County,0,3
1986,Los Angeles County,0,2
1989,Santa Clara County,1,52
1986,Los Angeles County,41,433
1986,Los Angeles County,580,3931
1986,Los Angeles County,383,4064
1986,Los Angeles County,145,696
1986,Los Angeles County,1651,4338
1986,Los Angeles County,79,966
1986,Los Angeles County,647,2900
1986,Los Angeles County,548,7867
1986,Los Angeles County,335,1359
1986,Los Angeles County,172,640
1986,Los Angeles County,734,4382
1986,Los Angeles County,80,1102
1986,Los Angeles County,2,30
1986,Los Angeles County,595,3496
1986,Los Angeles County,192,2242
1986,Los Angeles County,1870,6380
1986,Los Angeles County,36,237
1986,Los Angeles County,503,3171
1986,Los Angeles County,129,1136
1986,Los Angeles County,409,1673
1986,Los Angeles County,100,968
1986,Los Angeles County,318,1412
1986,Los Angeles County,125,765
1986,Los Angeles County,4839,29557
1986,Los Angeles County,66378,245042
1986,Los Angeles County,1179,2441
1986,Los Angeles County,119,1954
1986,Los Angeles County,161,717
1986,Los Angeles County,279,1811
1986,Los Angeles County,312,3163
1986,Los Angeles County,224,2316
