year,geo_name,geo,soc_name,soc,num_ppl,num_ppl_moe,num_ppl_rca,avg_wage,avg_wage_moe
2014,"California","04000US06","Aircraft pilots & flight engineers","532010",11865,846.205,0.708941,108679.0,5230.93
2014,"California","04000US06","Air traffic controllers & airfield operations specialists","532020",4116,649.51,0.849482,85983.1,7496.66
2014,"California","04000US06","Flight attendants","532031",9899,902.186,0.921281,41047.2,2173.31
2014,"California","04000US06","Ambulance drivers & attendants, except emergency medical technicians","533011",2031,421.017,1.21648,25332.3,3819.06
2014,"California","04000US06","Bus drivers","533020",48973,2006.26,0.719061,36113.9,874.904
2014,"California","04000US06","Driver/sales workers & truck drivers","533030",316412,5772.16,0.92217,38677.5,437.139
2014,"California","04000US06","Taxi drivers & chauffeurs","533041",31317,1608.58,0.990143,28927.2,1691.94
2014,"California","04000US06","Motor vehicle operators, all other","533099",5360,681.16,0.950322,23492.1,2378.03
2014,"California","04000US06","Locomotive engineers & operators","534010",2703,512.876,0.491419,71825.2,4947.36
2014,"California","04000US06","Railroad conductors & yardmasters","534031",2656,514.58,0.486459,61210.5,6293.15
2014,"California","04000US06","Ship & boat captains & operators","535020",2961,510.041,0.631782,64399.1,11984.4
2014,"California","04000US06","Parking lot attendants","536021",14963,1141.73,1.54784,18600.7,1437.85
2014,"California","04000US06","Automotive & watercraft service attendants-","536031",8523,760.979,0.647311,25295.3,5669.92
2014,"California","04000US06","Transportation inspectors","536051",4373,633.544,0.8732,58863.0,4862.6
2014,"California","04000US06","Transportation attendants, except flight attendants","536061",1643,366.546,0.530596,31515.8,6007.47
2014,"California","04000US06","Crane & tower operators","537021",3639,528.441,0.508399,74563.1,6897.37
2014,"California","04000US06","Dredge, excavating, & loading machine operators","537030",1662,399.655,0.480756,45780.6,7117.85
2014,"California","04000US06","Industrial truck & tractor operators","537051",63562,2607.7,1.0955,28960.5,581.426
2014,"California","04000US06","Cleaners of vehicles & equipment","537061",47061,2048.58,1.22668,20622.6,657.674
2014,"California","04000US06","Laborers & freight, stock, & material movers, hand","537062",219015,4624.77,0.937889,25380.9,443.153
2014,"California","04000US06","Machine feeders & offbearers","537063",3346,557.725,0.912699,23516.1,3010.28
2014,"California","04000US06","Packers & packagers, hand","537064",73058,2876.54,1.41416,19116.6,433.407
