Year,Police_Department,Officers_per_10K_Population,Officers,Total_Employees_per_10K_Population,Total_Employees,Population
2016,"Park Ridge, Illinois",14.3,54,17.5,66,37762.23776
2016,"Livingston Township, New Jersey",22.8,68,26.5,79,29824.5614
2016,"Downers Grove, Illinois",14.2,71,19.6,98,50000
2016,"Leesburg, Virginia",12.8,68,15.7,83,53125
2016,"Nashua, New Hampshire",19.7,174,26.6,235,88324.8731
2016,"Wauwatosa, Wisconsin",18.2,87,23.7,113,47802.1978
2016,"The Colony, Texas",13.5,58,20.7,89,42962.96296
2016,"Woodbury, Minnesota",9.7,67,11.4,79,69072.16495
2016,"La Porte, Texas",21.2,75,29.9,106,35377.35849
2016,"Ross Township, Pennsylvania",13.9,43,14.6,45,30935.2518
2016,"Sun Prairie, Wisconsin",15.8,52,20.9,69,32911.39241
2016,"Round Rock, Texas",13.2,158,19,227,119696.9697
2016,"Pullman, Washington",8.7,29,12,40,33333.33333
2016,"Sarasota, Florida",29.2,163,37.5,209,55821.91781
2016,"Franklin, Wisconsin",16.2,59,20.7,75,36419.75309
2016,"Glendora, California",9.7,51,16.4,86,52577.31959
2016,"Asheville, North Carolina",22.3,200,29.4,263,89686.09865
2016,"Carlsbad, California",9,103,13,150,114444.4444
2016,"Lakeville, Minnesota",8.9,55,10.4,64,61797.75281
2016,"Wichita Falls, Texas",19,199,27.1,284,104736.8421
2016,"Conway, Arkansas",19.1,126,25.1,166,65968.58639
2016,"Elyria, Ohio",14.7,79,17.5,94,53741.4966
2016,"Grand Blanc Township, Michigan",10.7,39,12.6,46,36448.59813
2016,"Fairfield, Connecticut",17.3,107,18.3,113,61849.71098
2016,"DeLand, Florida",18.1,56,24,74,30939.22652
2016,"St. Joseph, Missouri",16.3,125,22.1,169,76687.11656
2016,"Montgomery, Alabama",25.2,503,30.8,614,199603.1746
2016,"Omaha, Nebraska",17.9,798,20.8,926,445810.0559
2016,"Leawood, Kansas",15.9,56,21.9,77,35220.12579
2016,"Benton, Arkansas",18.3,64,25.8,90,34972.6776
2016,"Belmont, Massachusetts",17.9,46,23.4,60,25698.32402
2016,"West Fargo, North Dakota",14.4,51,17.2,61,35416.66667
2016,"Corona, California",9.5,158,13.5,225,166315.7895
2016,"Pacifica, California",8.3,33,8.8,35,39759.03614
2016,"Lubbock, Texas",15.5,392,20.8,526,252903.2258
2016,"Stevens Point, Wisconsin",16.5,44,18.1,48,26666.66667
