year,geo_name,geo,birthplace_name,birthplace,num_over5,num_over5_moe,num_over5_rca
2015,"California","04000US06","Montenegro","168",238.0,117.991,0.150695
2015,"California","04000US06","Other Europe - Not Specified","169",5012.0,762.983,1.04913
2015,"California","04000US06","Afghanistan","200",29600.0,2568.78,3.46682
2015,"California","04000US06","Bangladesh","202",15092.0,1858.98,0.598885
2015,"California","04000US06","Bhutan","203",249.0,162.301,0.0549985
2015,"California","04000US06","Myanmar","205",23893.0,1838.85,1.68061
2015,"California","04000US06","Cambodia","206",59369.0,2848.36,3.00399
2015,"California","04000US06","China","207",555855.0,9248.91,2.45811
2015,"California","04000US06","Cyprus","208",1167.0,389.08,1.1441
2015,"California","04000US06","Hong Kong","209",102758.0,3771.47,3.59579
2015,"California","04000US06","India","210",426002.0,9809.19,1.67365
2015,"California","04000US06","Indonesia","211",39320.0,2600.13,3.38159
2015,"California","04000US06","Iran","212",208115.0,6186.56,4.50859
2015,"California","04000US06","Iraq","213",42792.0,3638.64,1.86466
2015,"California","04000US06","Israel","214",35620.0,2305.97,1.92415
2015,"California","04000US06","Japan","215",137462.0,4262.97,2.19833
2015,"California","04000US06","Jordan","216",14363.0,1433.73,1.58331
2015,"California","04000US06","Korea","217",342795.0,7209.25,2.47663
2015,"California","04000US06","Kazakhstan","218",3970.0,690.445,1.2104
2015,"California","04000US06","Kuwait","222",5171.0,913.795,1.49094
2015,"California","04000US06","Laos","223",57355.0,3096.52,2.4604
2015,"California","04000US06","Lebanon","224",32975.0,2094.78,2.16462
2015,"California","04000US06","Malaysia","226",16098.0,1399.6,2.03245
2015,"California","04000US06","Nepal","229",9689.0,1344.2,0.828476
2015,"California","04000US06","Pakistan","231",45417.0,3569.74,1.06539
2015,"California","04000US06","Philippines","233",878605.0,11657.7,3.57307
2015,"California","04000US06","Saudi Arabia","235",12227.0,1976.55,1.13619
2015,"California","04000US06","Singapore","236",10118.0,1045.38,2.24311
2015,"California","04000US06","Sri Lanka","238",11731.0,1523.69,2.00855
2015,"California","04000US06","Syria","239",24761.0,2654.67,2.54177
2015,"California","04000US06","Taiwan","240",171492.0,4289.95,3.69781
2015,"California","04000US06","Thailand","242",72078.0,3145.35,2.32314
2015,"California","04000US06","Turkey","243",18183.0,1469.25,1.21426
2015,"California","04000US06","United Arab Emirates","245",2826.0,751.527,1.65253
2015,"California","04000US06","Uzbekistan","246",6073.0,1068.51,0.87868
2015,"California","04000US06","Vietnam","247",515410.0,7907.56,3.20968
2015,"California","04000US06","Yemen","248",8846.0,1427.74,1.45601
2015,"California","04000US06","Asia","249",10296.0,1181.18,1.66517
2015,"California","04000US06","Eastern Asia, Not Specified","251",1297.0,341.363,4.06559
2015,"California","04000US06","South Central Asia - Not Specified","253",2274.0,646.207,0.876053
2015,"California","04000US06","Other Asia - Not Specified","254",5531.0,1048.97,1.4877
2015,"California","04000US06","Bermuda","300",1408.0,472.409,0.725811
2015,"California","04000US06","Canada","301",144294.0,3656.52,1.26214
2015,"California","04000US06","Mexico","303",4319917.0,23555.4,3.01212
2015,"California","04000US06","Belize","310",18674.0,1411.59,3.01678
