Year	Police Department	Officers per 10K Population	Officers	Total Employees per 10K Population	Total Employees	
2016	"Taylor, Michigan"	12.1	74	14.7	90	
2016	"Juneau, Alaska"	15.2	50	24.9	82	
2016	"Dover, Delaware"	27.8	105	36	136	
2016	"Mount Vernon, Washington"	12.2	42	15.6	54	
2016	"West Linn, Oregon"	10.8	29	12.3	33	
2016	"Brockton, Massachusetts"	19.6	187	21.9	208	
2016	"Walla Walla, Washington"	14.2	46	22	71	
2016	"Livingston Township, New Jersey"	22.8	68	26.5	79	
2016	"Northern York Regional, Pennsylvania"	7.1	49	7.7	53	
2016	"Pennsauken Township, New Jersey"	20.6	73	22.9	81	
2016	"Grand Forks, North Dakota"	14.5	84	17.1	99	
2016	"Prescott Valley, Arizona"	14.2	61	18.9	81	
2016	"Concord, California"	11.5	150	15.5	201	
2016	"St. Louis, Missouri"	38	"1,194"	51.9	"1,632"	
2016	"Cape Girardeau, Missouri"	20.4	81	29.7	118	
2016	"Montebello, California"	10.3	66	15.4	99	
2016	"Brownsville, Texas"	13.1	244	19.1	354	
2016	"Harrison Town, New York"	22.1	63	25.9	74	
2016	"Olathe, Kansas"	12.2	166	14.3	194	
2016	"Plymouth Township, Michigan"	11.2	30	17.9	48	
2016	"East Hartford, Connecticut"	24.2	123	30.2	153	
2016	"Salisbury, Maryland"	26.9	90	34.1	114	
2016	"Laramie, Wyoming"	14.2	46	21.9	71	
2016	"Orlando, Florida"	25.7	715	32.9	915	
2016	"Laurel, Maryland"	24.2	64	32.2	85	
2016	"Dickinson, North Dakota"	14.3	36	21.9	55	
2016	"Mansfield, Texas"	14.4	95	34.2	225	
2016	"Eagle Pass, Texas"	21.5	63	26.7	78	
2016	"Pasadena, Texas"	17.3	268	22.3	345	
2016	"Irvington, New Jersey"	29	158	35.8	195	
2016	"Strongsville, Ohio"	15.9	71	19	85	
2016	"Brentwood, California"	10.2	62	13.7	83	
2016	"Norristown, Pennsylvania"	19.5	67	23.8	82	
2016	"Cheyenne, Wyoming"	15.9	102	19.2	123	
2016	"San Diego, California"	12.8	"1,815"	17.8	"2,522"	
2016	"Springfield, Oregon"	10.6	65	15.7	96	
2016	"Cranberry Township, Pennsylvania"	8.7	27	10	31	
2016	"Woburn, Massachusetts"	18.9	75	20.2	80	
2016	"Leominster, Massachusetts"	16.1	67	20	83	
2016	"Santa Ana, California"	9.2	310	15.5	523	
2016	"Southington, Connecticut"	15.5	68	20.3	89	
2016	"Johnson City, Tennessee"	22.3	148	26.6	177	
2016	"Syracuse, Utah"	7.5	21	8.2	23	
2016	"Murray, Utah"	15.1	75	18.1	90	
2016	"Longmont, Colorado"	14.7	137	21.9	204	
2016	"Sanford, North Carolina"	27.9	82	35.8	105	
2016	"Lake Havasu City, Arizona"	12.7	68	19.2	103	
2016	"Eagan, Minnesota"	10.5	70	12.4	83	
2016	"Colleyville, Texas"	16.5	43	18.8	49	
2016	"Milford, Massachusetts"	15.7	45	18.9	54	
2016	"Lancaster, Pennsylvania"	20.9	124	24.9	148	
2016	"Calexico, California"	5.7	23	8.7	35	
2016	"Edmonds, Washington"	12.9	54	15.1	63	
2016	"Sioux Falls, South Dakota"	13.6	239	15.8	276	
2016	"Cheltenham Township, Pennsylvania"	18.9	70	21	78	
2016	"Nacogdoches, Texas"	18.5	63	25.5	87	
2016	"Lansing, Michigan"	16.3	188	18.5	213	
2016	"York Area Regional, Pennsylvania"	8	44	8.7	48	
2016	"Sayreville, New Jersey"	18.6	84	21.3	96	
2016	"Tulare, California"	11.4	72	17.3	109	
2016	"Statesville, North Carolina"	27.1	72	34.6	92	
